,revid,parentid,user,userid,timestamp,size,anon,page_id
0,911149033,0,Jax 0677,6151339,2019-08-16T20:55:53Z,190939,,61531736
1,911149108,911149033,Jax 0677,6151339,2019-08-16T20:56:40Z,192497,,61531736
2,911149157,911149108,Jax 0677,6151339,2019-08-16T20:57:16Z,192250,,61531736
3,911153764,911149157,Jax 0677,6151339,2019-08-16T21:38:27Z,192297,,61531736
4,911183439,911153764,AnomieBOT,7611264,2019-08-17T03:18:58Z,192669,,61531736
5,911324078,911183439,OceanHok,21559323,2019-08-18T04:41:21Z,79049,,61531736
6,911416371,911324078,Wefk423,30693367,2019-08-18T18:13:13Z,79108,,61531736
7,911477238,911416371,182.239.115.131,0,2019-08-19T03:22:16Z,79309,True,61531736
8,911477381,911477238,182.239.115.131,0,2019-08-19T03:24:05Z,79108,True,61531736
9,911597216,911477381,Coldbolt,16615443,2019-08-19T22:07:39Z,79107,,61531736
10,911794716,911597216,Thespoondragon,33655351,2019-08-21T05:45:03Z,79088,,61531736
11,911920797,911794716,Phileo,327096,2019-08-22T01:43:50Z,79119,,61531736
12,911936655,911920797,Phileo,327096,2019-08-22T04:22:57Z,79155,,61531736
13,912028797,911936655,Fishtron,4264454,2019-08-22T19:39:24Z,79161,,61531736
14,912532827,912028797,Teddyfail,37210499,2019-08-26T07:18:19Z,79308,,61531736
15,912678494,912532827,65.60.163.223,0,2019-08-27T05:05:04Z,80420,True,61531736
16,912711342,912678494,OceanHok,21559323,2019-08-27T11:34:27Z,95756,,61531736
17,913131439,912711342,Newslinger,33467233,2019-08-30T02:57:12Z,95807,,61531736
18,913659459,913131439,STSC,1732781,2019-09-02T12:24:21Z,95810,,61531736
19,913960411,913659459,207.107.70.46,0,2019-09-04T08:53:20Z,95821,True,61531736
20,914318038,913960411,Ohconfucius,736651,2019-09-06T15:49:53Z,95821,,61531736
21,914321883,914318038,Ohconfucius,736651,2019-09-06T16:20:35Z,95824,,61531736
22,914322268,914321883,Ohconfucius,736651,2019-09-06T16:24:38Z,96506,,61531736
23,914404110,914322268,OceanHok,21559323,2019-09-07T08:51:12Z,96509,,61531736
24,914404126,914404110,OceanHok,21559323,2019-09-07T08:51:21Z,96510,,61531736
25,914406630,914404126,OceanHok,21559323,2019-09-07T09:18:50Z,96529,,61531736
26,916801507,914406630,JJMC89 bot III,35936988,2019-09-20T18:18:57Z,96507,,61531736
27,918153096,916801507,DoctorHell,5023119,2019-09-27T08:30:45Z,96214,,61531736
28,918276381,918153096,Ohconfucius,736651,2019-09-27T21:39:03Z,96305,,61531736
29,918429733,918276381,JWilk,5067238,2019-09-28T16:35:37Z,96293,,61531736
30,918432664,918429733,JWilk,5067238,2019-09-28T16:52:36Z,96272,,61531736
31,919790295,918432664,Rich Farmbrough,82835,2019-10-05T20:29:10Z,96191,,61531736
32,920112174,919790295,Tinkering Gnome,37180982,2019-10-07T18:54:54Z,96248,,61531736
33,920270165,920112174,Ohconfucius,736651,2019-10-08T17:45:29Z,94788,,61531736
34,920270257,920270165,Ohconfucius,736651,2019-10-08T17:46:15Z,94790,,61531736
35,920270590,920270257,Ohconfucius,736651,2019-10-08T17:48:39Z,94831,,61531736
36,920273114,920270590,Feminist,25530780,2019-10-08T18:08:35Z,94835,,61531736
37,920285243,920273114,GrandLucky,36775337,2019-10-08T19:44:17Z,94835,,61531736
38,920285400,920285243,GrandLucky,36775337,2019-10-08T19:45:17Z,94833,,61531736
39,920285633,920285400,GrandLucky,36775337,2019-10-08T19:47:00Z,94833,,61531736
40,920285716,920285633,GrandLucky,36775337,2019-10-08T19:47:45Z,94827,,61531736
41,921734372,920285716,Bonthefox3,35810938,2019-10-17T15:28:48Z,94827,,61531736
42,921823371,921734372,習振英,37465506,2019-10-18T03:58:38Z,94844,,61531736
43,921823435,921823371,習振英,37465506,2019-10-18T03:59:21Z,95023,,61531736
44,922330089,921823435,OceanHok,21559323,2019-10-21T13:13:22Z,95025,,61531736
45,922562333,922330089,Ohconfucius,736651,2019-10-22T22:11:05Z,94127,,61531736
46,922563728,922562333,Ohconfucius,736651,2019-10-22T22:21:01Z,93826,,61531736
47,922563917,922563728,Ohconfucius,736651,2019-10-22T22:22:08Z,93824,,61531736
48,923051767,922563917,104.138.144.205,0,2019-10-26T01:27:36Z,93869,True,61531736
49,923052378,923051767,Matthew hk,727505,2019-10-26T01:34:19Z,93690,,61531736
50,923053054,923052378,104.138.144.205,0,2019-10-26T01:41:52Z,93866,True,61531736
51,923053098,923053054,104.138.144.205,0,2019-10-26T01:42:18Z,93867,True,61531736
52,923092638,923053098,Matthew hk,727505,2019-10-26T09:18:36Z,93690,,61531736
53,923277709,923092638,DoctorHell,5023119,2019-10-27T14:30:00Z,93657,,61531736
54,923452157,923277709,Barkeep49,299135,2019-10-28T17:15:05Z,94483,,61531736
55,923536604,923452157,Richard-of-Earth,6320921,2019-10-29T04:22:26Z,95433,,61531736
56,923577451,923536604,Keith D,2278355,2019-10-29T12:39:52Z,95432,,61531736
57,923988013,923577451,Citobun,19212093,2019-11-01T01:45:52Z,95431,,61531736
58,924865436,923988013,OceanHok,21559323,2019-11-06T11:54:07Z,93662,,61531736
59,927085015,924865436,Robertsky,1990013,2019-11-20T06:50:53Z,128600,,61531736
60,928791432,927085015,RealFakeKim,37247652,2019-12-01T17:52:35Z,128596,,61531736
61,928791767,928791432,RealFakeKim,37247652,2019-12-01T17:55:03Z,128590,,61531736
62,928792406,928791767,Robertsky,1990013,2019-12-01T18:00:01Z,124168,,61531736
